epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1006.8,1.25318,0.96669,1.38894,0.75544,0.64132,0.72803,0.4627,1.28489,1.01488,1.42142,0.0004754,0.0004754,0.0004754
79,1019.35,1.24418,0.988,1.40313,0.76936,0.6437,0.7447,0.47555,1.29392,1.00207,1.42155,0.0004556,0.0004556,0.0004556
80,1032.17,1.25423,0.97888,1.39141,0.7754,0.64921,0.74454,0.47481,1.29717,0.99112,1.42101,0.0004358,0.0004358,0.0004358
81,1044.73,1.25014,0.96089,1.38558,0.78508,0.63941,0.73785,0.46229,1.31259,1.01834,1.44496,0.000416,0.000416,0.000416
82,1057.46,1.24297,0.96348,1.37327,0.76298,0.64275,0.73237,0.47085,1.28654,1.0022,1.42473,0.0003962,0.0003962,0.0003962
83,1070.18,1.23905,0.94685,1.37701,0.74172,0.67288,0.74673,0.47578,1.28632,0.98845,1.4284,0.0003764,0.0003764,0.0003764
84,1082.82,1.22792,0.95519,1.38548,0.73426,0.66141,0.73474,0.47359,1.2856,0.98925,1.42566,0.0003566,0.0003566,0.0003566
85,1095.45,1.23108,0.95682,1.3831,0.75762,0.65065,0.73391,0.47083,1.28351,1.00834,1.4201,0.0003368,0.0003368,0.0003368
86,1108.1,1.21799,0.91139,1.3652,0.77746,0.6406,0.73594,0.4693,1.30496,1.00021,1.44608,0.000317,0.000317,0.000317
87,1120.83,1.21856,0.95029,1.38436,0.75968,0.65989,0.74595,0.476,1.29406,0.98104,1.42192,0.0002972,0.0002972,0.0002972
88,1133.52,1.20748,0.91495,1.35226,0.76696,0.65161,0.74299,0.4772,1.28485,0.9839,1.41504,0.0002774,0.0002774,0.0002774
89,1146.25,1.21058,0.92026,1.35661,0.72953,0.68495,0.74764,0.48255,1.27803,0.97697,1.40995,0.0002576,0.0002576,0.0002576
90,1158.98,1.21604,0.92337,1.36422,0.76919,0.65854,0.7514,0.48106,1.28158,0.97184,1.41325,0.0002378,0.0002378,0.0002378
91,1174.84,1.15818,0.86098,1.3153,0.73487,0.67217,0.73688,0.47512,1.27795,0.97861,1.41554,0.000218,0.000218,0.000218
92,1187.6,1.13647,0.82632,1.31018,0.7464,0.65875,0.74724,0.48237,1.26993,0.97561,1.41192,0.0001982,0.0001982,0.0001982
93,1200.09,1.13653,0.816,1.2986,0.74596,0.65782,0.74332,0.47938,1.26684,0.9886,1.40148,0.0001784,0.0001784,0.0001784
94,1212.6,1.11696,0.79714,1.28933,0.7442,0.66577,0.74579,0.48564,1.26976,0.96538,1.40888,0.0001586,0.0001586,0.0001586
95,1225.25,1.11076,0.79233,1.28427,0.75025,0.67145,0.74855,0.48534,1.26437,0.96396,1.40585,0.0001388,0.0001388,0.0001388
96,1237.61,1.10433,0.7933,1.28233,0.74949,0.67647,0.74766,0.4842,1.26461,0.96702,1.40615,0.000119,0.000119,0.000119
97,1250.02,1.1071,0.77879,1.27853,0.75915,0.65782,0.74947,0.48815,1.2617,0.95753,1.40198,9.92e-05,9.92e-05,9.92e-05
98,1262.55,1.09616,0.77848,1.2693,0.79366,0.63845,0.7514,0.48661,1.26905,0.95995,1.41065,7.94e-05,7.94e-05,7.94e-05
99,1275.02,1.09803,0.78188,1.27494,0.77298,0.64491,0.74926,0.48634,1.26738,0.95466,1.40786,5.96e-05,5.96e-05,5.96e-05
100,1287.26,1.08134,0.76893,1.26957,0.76302,0.64562,0.75149,0.4892,1.25686,0.9469,1.40267,3.98e-05,3.98e-05,3.98e-05
